,name,rating,brand,perfumer,gender,types,scent1,scent2,scent3,scent4,scent5
56,"迪奥 旷野
Dior Sauvage, 2015",8.6 分 1233 人评价,迪奥,Francois Demachy,男香,馥奇香调,降龙涎香醚,香柠檬,花椒,胡椒,薰衣草
57,"宝格丽 活力海洋（海蓝）
Bvlgari Aqva Pour Homme Marine, 2008",8.6 分 1183 人评价,宝格丽,Jacques Cavallier,男香,水生馥奇香调,水,海藻,葡萄柚,橙花油,橘子
58,"爱马仕 橘绿之泉 淡香水
Hermes Concentre d'Orange Verte EDT, 2004",9.1 分 441 人评价,爱马仕,Jean Guichard,中性香,柑橘馥奇香调,橙子,罗勒,雪松,广藿香,琥珀
59,"宝格丽 大吉岭极致版
Bvlgari Pour Homme Extreme, 1999",8.8 分 771 人评价,宝格丽,Jacques Cavallier,男香,木质馥奇香调,茶叶,葡萄柚,香柠檬,橙花油,麝香
60,"迪奥 午夜奇葩（蓝毒）
Dior Midnight Poison, 2007",9 分 466 人评价,迪奥,Olivier Cresp,Jacques Cavallier,女香,广藿香,玫瑰,琥珀,香柠檬,香草
61,"博柏利 动感节拍男士
Burberry The Beat for Men, 2008",8.8 分 627 人评价,博柏利,Domitille Bertier,男香,木质馥奇香调,胡椒,香橼,香根草,木质香,紫罗兰
62,"蔻依 水漾玫瑰（绿丝带）
Chloe L'Eau de Chloe, 2012",8.7 分 906 人评价,蔻依,Michel Almairac,女香,花香甘苔调,玫瑰,广藿香,葡萄柚,香橼,雪松
63,"阿玛尼 挚爱
Giorgio Armani Si, 2013",8.6 分 998 人评价,阿玛尼,Christine Nagel,女香,果香甘苔调,醋栗叶,香草,广藿香,玫瑰,小苍兰
64,"香奈儿 可可女士
Chanel Coco Eau de Parfum, 1984",9.1 分 384 人评价,香奈儿,Jacques Polge,女香,辛辣东方调,公丁香,琥珀,玫瑰,檀香木,芫荽
65,"娇兰 遗产
Guerlain Heritage Eau de Toilette, 1992",9.3 分 312 人评价,娇兰,Jean-Paul Guerlain,男香,辛辣木质调,檀香木,广藿香,薰衣草,柠檬,橡木苔
66,"爱马仕 雪白龙胆
Hermes Eau de Gentiane Blanche, 2009",8.7 分 728 人评价,爱马仕,Jean-Claude Ellena,中性香,馥奇香调,人参,秦艽,焚香,鸢尾花,麝香
67,"香奈儿 5号之水
Chanel No 5 L'Eau, 2016",9 分 468 人评价,香奈儿,Olivier Polge,女香,醛香花香调,柠檬,醛,依兰,橙花油,麝香
68,"宝格丽 花舞轻盈（紫晶）
Bvlgari Omnia Amethyste, 2006",8.6 分 959 人评价,宝格丽,Alberto Morillas,女香,木质花香调,天芥菜,鸢尾花,木质香,绿叶,玫瑰
69,"祖玛珑 浓古龙-黑琥珀与姜百合
Jo Malone Dark Amber & Ginger Lily, 2008",9.1 分 371 人评价,祖玛珑,Jo Malone,女香,木质东方调,生姜,檀香木,龙涎香,小豆蔻,乳香
70,"迪奥 冰火奇葩（白毒）
Dior Pure Poison, 2004",8.6 分 925 人评价,迪奥,Olivier Polge,Carlos Benaim,女香,茉莉,栀子花,橙花,檀香木,橙子
71,"迪奥 花漾甜心14年版
Dior Miss Dior Blooming Bouquet, 2014",8.8 分 672 人评价,迪奥,Francois Demachy,女香,花香调,牡丹,玫瑰,麝香,橘子,杏
72,"缪缪 滢蓝（蓝色之水）
Miu Miu L’Eau Bleue, 2016",8.8 分 680 人评价,缪缪,Daniela (Roche) Andrier,女香,花香调,铃兰,绿叶,白色花系,茉莉,露珠
73,"科颜氏 原创麝香
Kiehl's Original Musk, 2004",8.8 分 559 人评价,科颜氏,None,中性香,木质花香调,麝香,橙花,依兰,零陵香豆,百合
74,"迪奥 毒药（紫毒）
Dior Poison, 1985",8.8 分 550 人评价,迪奥,Edouard Flechier,女香,东方花香调,李子,晚香玉,焚香,蜂蜜,森林水果
75,"橘滋 脏话男士
Juicy Couture Dirty English for Men, 2008",8.5 分 1873 人评价,橘滋,Claude Dir,男香,辛辣木质调,沉香(乌木),皮革,橘子,雪松,檀香木
76,"蔻依 玫瑰（粉丝带）
Chloe Roses De Chloe, 2013",8.7 分 674 人评价,蔻依,None,女香,花香调,玫瑰,麝香,荔枝,木兰,香柠檬
77,"祖玛珑 浓古龙-乌木与佛手柑（乌木与香柠檬）
Jo Malone Oud & Bergamot, 2010",9 分 450 人评价,祖玛珑,Christine Nagel,中性香,东方调,沉香(乌木),香柠檬,柠檬,雪松,橙子
78,"爱马仕 雨后花园（印度花园）
Hermes Un Jardin Apres la Mousson, 2008",8.5 分 1118 人评价,爱马仕,Jean-Claude Ellena,中性香,辛辣木质调,生姜,小豆蔻,胡椒,芫荽,黄瓜
79,"娇兰 阵雨过后（雨过天晴）
Guerlain Apres l'Ondee, 1906",9.1 分 370 人评价,娇兰,Jacques Guerlain,女香,东方花香调,紫罗兰,鸢尾花,天芥菜,茴芹,鸢尾根
80,"纳茜素 她的同名女士淡香精
Narciso Rodriguez for Her Eau de Parfum, 2006",8.6 分 1029 人评价,纳茜素,Christine Nagel,女香,木质花香调,麝香,玫瑰,桃子,广藿香,檀香木
81,"三宅一生 一生之水女士香水
Issey Miyake L'eau d'Issey, 1992",8.4 分 2021 人评价,三宅一生,Jacques Cavallier,女香,水生花香调,莲花,香瓜,铃兰,百合,玫瑰
82,"圣罗兰 暗夜男士
YSL Yves Saint Laurent La Nuit de l'Homme, 2009",8.7 分 667 人评价,圣罗兰,Anne Flipo,Dominique Ropion,男香,小豆蔻,薰衣草,香柠檬,雪松,葛缕子
83,"娇兰 花草水语-薄荷青草
Guerlain Aqua Allegoria Herba Fresca, 1999",8.6 分 737 人评价,娇兰,Jean-Paul Guerlain,中性香,绿叶馥奇香调,柠檬,薄荷,茶叶,三叶草,铃兰
84,"范思哲 同名经典男士
Versace Pour Homme, 2008",8.5 分 1033 人评价,范思哲,Alberto Morillas,男香,馥奇香调,柠檬,橙花油,香柠檬,风信子,零陵香豆
85,"范思哲 云淡风轻（绅情）男士
Versace Man Eau Fraiche, 2006",8.5 分 984 人评价,范思哲,Olivier Cresp,男香,水生木质调,柠檬,香柠檬,杨桃,雪松,木质香
